id,dh_key,last_seq,upstream_power,downstream_power,spf,duty_cycle_refresh,application_id,transmission_param_id,stat_model,dev_id,name,firmware,pdr,battery,lat,lng,antena_gain
0QRf,,1,14,14,12,00:42:13,1,1,"[{""sf"": 7, ""pw"": 10, ""rw"": 8}, {""sf"": 7, ""pw"": 11, ""rw"": 8}, {""sf"": 7, ""pw"": 12, ""rw"": 8}, {""sf"": 7, ""pw"": 13, ""rw"": 8}, {""sf"": 7, ""pw"": 14, ""rw"": 8}, {""sf"": 7, ""pw"": 15, ""rw"": 9}, {""sf"": 8, ""pw"": 10, ""rw"": 8}, {""sf"": 8, ""pw"": 11, ""rw"": 8}, {""sf"": 8, ""pw"": 12, ""rw"": 8}, {""sf"": 8, ""pw"": 13, ""rw"": 8}, {""sf"": 8, ""pw"": 14, ""rw"": 8}, {""sf"": 8, ""pw"": 15, ""rw"": 9}, {""sf"": 9, ""pw"": 10, ""rw"": 8}, {""sf"": 9, ""pw"": 11, ""rw"": 8}, {""sf"": 9, ""pw"": 12, ""rw"": 8}, {""sf"": 9, ""pw"": 13, ""rw"": 8}, {""sf"": 9, ""pw"": 14, ""rw"": 9}, {""sf"": 10, ""pw"": 10, ""rw"": 8}, {""sf"": 10, ""pw"": 11, ""rw"": 8}, {""sf"": 10, ""pw"": 12, ""rw"": 8}, {""sf"": 10, ""pw"": 13, ""rw"": 8}, {""sf"": 10, ""pw"": 14, ""rw"": 8}, {""sf"": 10, ""pw"": 15, ""rw"": 9}, {""sf"": 11, ""pw"": 10, ""rw"": 8}, {""sf"": 11, ""pw"": 11, ""rw"": 8}, {""sf"": 11, ""pw"": 12, ""rw"": 8}, {""sf"": 11, ""pw"": 13, ""rw"": 8}, {""sf"": 11, ""pw"": 14, ""rw"": 8}, {""sf"": 11, ""pw"": 15, ""rw"": 9}, {""sf"": 12, ""pw"": 10, ""rw"": 8}, {""sf"": 12, ""pw"": 11, ""rw"": 8}, {""sf"": 12, ""pw"": 12, ""rw"": 8}, {""sf"": 12, ""pw"": 13, ""rw"": 8}, {""sf"": 12, ""pw"": 14, ""rw"": 8}, {""sf"": 12, ""pw"": 15, ""rw"": 10}]",1,,,,,,,
zBR4,,1,15,15,12,00:42:19,1,1,"[{""sf"": 7, ""pw"": 10, ""rw"": 8}, {""sf"": 7, ""pw"": 11, ""rw"": 8}, {""sf"": 7, ""pw"": 12, ""rw"": 8}, {""sf"": 7, ""pw"": 13, ""rw"": 8}, {""sf"": 7, ""pw"": 14, ""rw"": 8}, {""sf"": 7, ""pw"": 15, ""rw"": 9}, {""sf"": 8, ""pw"": 10, ""rw"": 8}, {""sf"": 8, ""pw"": 11, ""rw"": 8}, {""sf"": 8, ""pw"": 12, ""rw"": 8}, {""sf"": 8, ""pw"": 13, ""rw"": 8}, {""sf"": 8, ""pw"": 14, ""rw"": 8}, {""sf"": 8, ""pw"": 15, ""rw"": 9}, {""sf"": 9, ""pw"": 10, ""rw"": 8}, {""sf"": 9, ""pw"": 11, ""rw"": 8}, {""sf"": 9, ""pw"": 12, ""rw"": 8}, {""sf"": 9, ""pw"": 13, ""rw"": 8}, {""sf"": 9, ""pw"": 14, ""rw"": 9}, {""sf"": 10, ""pw"": 10, ""rw"": 8}, {""sf"": 10, ""pw"": 11, ""rw"": 8}, {""sf"": 10, ""pw"": 12, ""rw"": 8}, {""sf"": 10, ""pw"": 13, ""rw"": 8}, {""sf"": 10, ""pw"": 14, ""rw"": 8}, {""sf"": 10, ""pw"": 15, ""rw"": 9}, {""sf"": 11, ""pw"": 10, ""rw"": 8}, {""sf"": 11, ""pw"": 11, ""rw"": 8}, {""sf"": 11, ""pw"": 12, ""rw"": 8}, {""sf"": 11, ""pw"": 13, ""rw"": 8}, {""sf"": 11, ""pw"": 14, ""rw"": 8}, {""sf"": 11, ""pw"": 15, ""rw"": 9}, {""sf"": 12, ""pw"": 10, ""rw"": 8}, {""sf"": 12, ""pw"": 11, ""rw"": 8}, {""sf"": 12, ""pw"": 12, ""rw"": 8}, {""sf"": 12, ""pw"": 13, ""rw"": 8}, {""sf"": 12, ""pw"": 14, ""rw"": 8}, {""sf"": 12, ""pw"": 15, ""rw"": 10}]",2,,,,,,,
IWbl,,1,14,14,12,00:42:24,1,1,"[{""sf"": 7, ""pw"": 10, ""rw"": 8}, {""sf"": 7, ""pw"": 11, ""rw"": 8}, {""sf"": 7, ""pw"": 12, ""rw"": 8}, {""sf"": 7, ""pw"": 13, ""rw"": 8}, {""sf"": 7, ""pw"": 14, ""rw"": 8}, {""sf"": 7, ""pw"": 15, ""rw"": 9}, {""sf"": 8, ""pw"": 10, ""rw"": 8}, {""sf"": 8, ""pw"": 11, ""rw"": 8}, {""sf"": 8, ""pw"": 12, ""rw"": 8}, {""sf"": 8, ""pw"": 13, ""rw"": 8}, {""sf"": 8, ""pw"": 14, ""rw"": 8}, {""sf"": 8, ""pw"": 15, ""rw"": 9}, {""sf"": 9, ""pw"": 10, ""rw"": 8}, {""sf"": 9, ""pw"": 11, ""rw"": 8}, {""sf"": 9, ""pw"": 12, ""rw"": 8}, {""sf"": 9, ""pw"": 13, ""rw"": 8}, {""sf"": 9, ""pw"": 14, ""rw"": 9}, {""sf"": 10, ""pw"": 10, ""rw"": 8}, {""sf"": 10, ""pw"": 11, ""rw"": 8}, {""sf"": 10, ""pw"": 12, ""rw"": 8}, {""sf"": 10, ""pw"": 13, ""rw"": 8}, {""sf"": 10, ""pw"": 14, ""rw"": 8}, {""sf"": 10, ""pw"": 15, ""rw"": 9}, {""sf"": 11, ""pw"": 10, ""rw"": 8}, {""sf"": 11, ""pw"": 11, ""rw"": 8}, {""sf"": 11, ""pw"": 12, ""rw"": 8}, {""sf"": 11, ""pw"": 13, ""rw"": 8}, {""sf"": 11, ""pw"": 14, ""rw"": 8}, {""sf"": 11, ""pw"": 15, ""rw"": 9}, {""sf"": 12, ""pw"": 10, ""rw"": 8}, {""sf"": 12, ""pw"": 11, ""rw"": 8}, {""sf"": 12, ""pw"": 12, ""rw"": 8}, {""sf"": 12, ""pw"": 13, ""rw"": 8}, {""sf"": 12, ""pw"": 14, ""rw"": 8}, {""sf"": 12, ""pw"": 15, ""rw"": 10}]",3,,,,,,,
TUNR,,1,15,15,11,00:42:30,1,1,"[{""sf"": 7, ""pw"": 10, ""rw"": 8}, {""sf"": 7, ""pw"": 11, ""rw"": 8}, {""sf"": 7, ""pw"": 12, ""rw"": 8}, {""sf"": 7, ""pw"": 13, ""rw"": 8}, {""sf"": 7, ""pw"": 14, ""rw"": 8}, {""sf"": 7, ""pw"": 15, ""rw"": 9}, {""sf"": 8, ""pw"": 10, ""rw"": 8}, {""sf"": 8, ""pw"": 11, ""rw"": 8}, {""sf"": 8, ""pw"": 12, ""rw"": 8}, {""sf"": 8, ""pw"": 13, ""rw"": 8}, {""sf"": 8, ""pw"": 14, ""rw"": 8}, {""sf"": 8, ""pw"": 15, ""rw"": 9}, {""sf"": 9, ""pw"": 10, ""rw"": 8}, {""sf"": 9, ""pw"": 11, ""rw"": 8}, {""sf"": 9, ""pw"": 12, ""rw"": 8}, {""sf"": 9, ""pw"": 13, ""rw"": 8}, {""sf"": 9, ""pw"": 14, ""rw"": 9}, {""sf"": 10, ""pw"": 10, ""rw"": 8}, {""sf"": 10, ""pw"": 11, ""rw"": 8}, {""sf"": 10, ""pw"": 12, ""rw"": 8}, {""sf"": 10, ""pw"": 13, ""rw"": 8}, {""sf"": 10, ""pw"": 14, ""rw"": 8}, {""sf"": 10, ""pw"": 15, ""rw"": 9}, {""sf"": 11, ""pw"": 10, ""rw"": 8}, {""sf"": 11, ""pw"": 11, ""rw"": 8}, {""sf"": 11, ""pw"": 12, ""rw"": 8}, {""sf"": 11, ""pw"": 13, ""rw"": 8}, {""sf"": 11, ""pw"": 14, ""rw"": 8}, {""sf"": 11, ""pw"": 15, ""rw"": 9}, {""sf"": 12, ""pw"": 10, ""rw"": 8}, {""sf"": 12, ""pw"": 11, ""rw"": 8}, {""sf"": 12, ""pw"": 12, ""rw"": 8}, {""sf"": 12, ""pw"": 13, ""rw"": 8}, {""sf"": 12, ""pw"": 14, ""rw"": 8}, {""sf"": 12, ""pw"": 15, ""rw"": 10}]",4,,,,,,,
sNKE,,85,5,15,7,00:45:16,1,1,"[{""sf"": 7, ""pw"": 10, ""rw"": 8}, {""sf"": 7, ""pw"": 11, ""rw"": 8}, {""sf"": 7, ""pw"": 12, ""rw"": 8}, {""sf"": 7, ""pw"": 13, ""rw"": 8}, {""sf"": 7, ""pw"": 14, ""rw"": 8}, {""sf"": 7, ""pw"": 15, ""rw"": 9}, {""sf"": 8, ""pw"": 10, ""rw"": 8}, {""sf"": 8, ""pw"": 11, ""rw"": 8}, {""sf"": 8, ""pw"": 12, ""rw"": 8}, {""sf"": 8, ""pw"": 13, ""rw"": 8}, {""sf"": 8, ""pw"": 14, ""rw"": 8}, {""sf"": 8, ""pw"": 15, ""rw"": 9}, {""sf"": 9, ""pw"": 10, ""rw"": 8}, {""sf"": 9, ""pw"": 11, ""rw"": 8}, {""sf"": 9, ""pw"": 12, ""rw"": 8}, {""sf"": 9, ""pw"": 13, ""rw"": 8}, {""sf"": 9, ""pw"": 14, ""rw"": 9}, {""sf"": 10, ""pw"": 10, ""rw"": 8}, {""sf"": 10, ""pw"": 11, ""rw"": 8}, {""sf"": 10, ""pw"": 12, ""rw"": 8}, {""sf"": 10, ""pw"": 13, ""rw"": 8}, {""sf"": 10, ""pw"": 14, ""rw"": 8}, {""sf"": 10, ""pw"": 15, ""rw"": 9}, {""sf"": 11, ""pw"": 10, ""rw"": 8}, {""sf"": 11, ""pw"": 11, ""rw"": 8}, {""sf"": 11, ""pw"": 12, ""rw"": 8}, {""sf"": 11, ""pw"": 13, ""rw"": 8}, {""sf"": 11, ""pw"": 14, ""rw"": 8}, {""sf"": 11, ""pw"": 15, ""rw"": 9}, {""sf"": 12, ""pw"": 10, ""rw"": 8}, {""sf"": 12, ""pw"": 11, ""rw"": 8}, {""sf"": 12, ""pw"": 12, ""rw"": 8}, {""sf"": 12, ""pw"": 13, ""rw"": 8}, {""sf"": 12, ""pw"": 14, ""rw"": 8}, {""sf"": 12, ""pw"": 15, ""rw"": 10}]",7,,,,,,,
Oyxj,,95,5,15,7,00:45:10,1,1,"[{""sf"": 7, ""pw"": 10, ""rw"": 8}, {""sf"": 7, ""pw"": 11, ""rw"": 8}, {""sf"": 7, ""pw"": 12, ""rw"": 8}, {""sf"": 7, ""pw"": 13, ""rw"": 8}, {""sf"": 7, ""pw"": 14, ""rw"": 8}, {""sf"": 7, ""pw"": 15, ""rw"": 9}, {""sf"": 8, ""pw"": 10, ""rw"": 8}, {""sf"": 8, ""pw"": 11, ""rw"": 8}, {""sf"": 8, ""pw"": 12, ""rw"": 8}, {""sf"": 8, ""pw"": 13, ""rw"": 8}, {""sf"": 8, ""pw"": 14, ""rw"": 8}, {""sf"": 8, ""pw"": 15, ""rw"": 9}, {""sf"": 9, ""pw"": 10, ""rw"": 8}, {""sf"": 9, ""pw"": 11, ""rw"": 8}, {""sf"": 9, ""pw"": 12, ""rw"": 8}, {""sf"": 9, ""pw"": 13, ""rw"": 8}, {""sf"": 9, ""pw"": 14, ""rw"": 9}, {""sf"": 10, ""pw"": 10, ""rw"": 8}, {""sf"": 10, ""pw"": 11, ""rw"": 8}, {""sf"": 10, ""pw"": 12, ""rw"": 8}, {""sf"": 10, ""pw"": 13, ""rw"": 8}, {""sf"": 10, ""pw"": 14, ""rw"": 8}, {""sf"": 10, ""pw"": 15, ""rw"": 9}, {""sf"": 11, ""pw"": 10, ""rw"": 8}, {""sf"": 11, ""pw"": 11, ""rw"": 8}, {""sf"": 11, ""pw"": 12, ""rw"": 8}, {""sf"": 11, ""pw"": 13, ""rw"": 8}, {""sf"": 11, ""pw"": 14, ""rw"": 8}, {""sf"": 11, ""pw"": 15, ""rw"": 9}, {""sf"": 12, ""pw"": 10, ""rw"": 8}, {""sf"": 12, ""pw"": 11, ""rw"": 8}, {""sf"": 12, ""pw"": 12, ""rw"": 8}, {""sf"": 12, ""pw"": 13, ""rw"": 8}, {""sf"": 12, ""pw"": 14, ""rw"": 8}, {""sf"": 12, ""pw"": 15, ""rw"": 10}]",6,,,,,,,
0rBU,,88,15,15,12,00:45:05,1,1,"[{""sf"": 7, ""pw"": 10, ""rw"": 8}, {""sf"": 7, ""pw"": 11, ""rw"": 8}, {""sf"": 7, ""pw"": 12, ""rw"": 8}, {""sf"": 7, ""pw"": 13, ""rw"": 8}, {""sf"": 7, ""pw"": 14, ""rw"": 8}, {""sf"": 7, ""pw"": 15, ""rw"": 9}, {""sf"": 8, ""pw"": 10, ""rw"": 8}, {""sf"": 8, ""pw"": 11, ""rw"": 8}, {""sf"": 8, ""pw"": 12, ""rw"": 8}, {""sf"": 8, ""pw"": 13, ""rw"": 8}, {""sf"": 8, ""pw"": 14, ""rw"": 8}, {""sf"": 8, ""pw"": 15, ""rw"": 9}, {""sf"": 9, ""pw"": 10, ""rw"": 8}, {""sf"": 9, ""pw"": 11, ""rw"": 8}, {""sf"": 9, ""pw"": 12, ""rw"": 8}, {""sf"": 9, ""pw"": 13, ""rw"": 8}, {""sf"": 9, ""pw"": 14, ""rw"": 9}, {""sf"": 10, ""pw"": 10, ""rw"": 8}, {""sf"": 10, ""pw"": 11, ""rw"": 8}, {""sf"": 10, ""pw"": 12, ""rw"": 8}, {""sf"": 10, ""pw"": 13, ""rw"": 8}, {""sf"": 10, ""pw"": 14, ""rw"": 8}, {""sf"": 10, ""pw"": 15, ""rw"": 9}, {""sf"": 11, ""pw"": 10, ""rw"": 8}, {""sf"": 11, ""pw"": 11, ""rw"": 8}, {""sf"": 11, ""pw"": 12, ""rw"": 8}, {""sf"": 11, ""pw"": 13, ""rw"": 8}, {""sf"": 11, ""pw"": 14, ""rw"": 8}, {""sf"": 11, ""pw"": 15, ""rw"": 9}, {""sf"": 12, ""pw"": 10, ""rw"": 8}, {""sf"": 12, ""pw"": 11, ""rw"": 8}, {""sf"": 12, ""pw"": 12, ""rw"": 8}, {""sf"": 12, ""pw"": 13, ""rw"": 8}, {""sf"": 12, ""pw"": 14, ""rw"": 8}, {""sf"": 12, ""pw"": 15, ""rw"": 10}]",5,,,,,,,
Chxx,,92,9,15,7,00:51:20,1,1,"[{""sf"": 7, ""pw"": 10, ""rw"": 8}, {""sf"": 7, ""pw"": 11, ""rw"": 8}, {""sf"": 7, ""pw"": 12, ""rw"": 8}, {""sf"": 7, ""pw"": 13, ""rw"": 8}, {""sf"": 7, ""pw"": 14, ""rw"": 8}, {""sf"": 7, ""pw"": 15, ""rw"": 9}, {""sf"": 8, ""pw"": 10, ""rw"": 8}, {""sf"": 8, ""pw"": 11, ""rw"": 8}, {""sf"": 8, ""pw"": 12, ""rw"": 8}, {""sf"": 8, ""pw"": 13, ""rw"": 8}, {""sf"": 8, ""pw"": 14, ""rw"": 8}, {""sf"": 8, ""pw"": 15, ""rw"": 9}, {""sf"": 9, ""pw"": 10, ""rw"": 8}, {""sf"": 9, ""pw"": 11, ""rw"": 8}, {""sf"": 9, ""pw"": 12, ""rw"": 8}, {""sf"": 9, ""pw"": 13, ""rw"": 8}, {""sf"": 9, ""pw"": 14, ""rw"": 9}, {""sf"": 10, ""pw"": 10, ""rw"": 8}, {""sf"": 10, ""pw"": 11, ""rw"": 8}, {""sf"": 10, ""pw"": 12, ""rw"": 8}, {""sf"": 10, ""pw"": 13, ""rw"": 8}, {""sf"": 10, ""pw"": 14, ""rw"": 8}, {""sf"": 10, ""pw"": 15, ""rw"": 9}, {""sf"": 11, ""pw"": 10, ""rw"": 8}, {""sf"": 11, ""pw"": 11, ""rw"": 8}, {""sf"": 11, ""pw"": 12, ""rw"": 8}, {""sf"": 11, ""pw"": 13, ""rw"": 8}, {""sf"": 11, ""pw"": 14, ""rw"": 8}, {""sf"": 11, ""pw"": 15, ""rw"": 9}, {""sf"": 12, ""pw"": 10, ""rw"": 8}, {""sf"": 12, ""pw"": 11, ""rw"": 8}, {""sf"": 12, ""pw"": 12, ""rw"": 8}, {""sf"": 12, ""pw"": 13, ""rw"": 8}, {""sf"": 12, ""pw"": 14, ""rw"": 8}, {""sf"": 12, ""pw"": 15, ""rw"": 10}]",9,,,,,,,
iMT8,,94,9,14,7,00:47:10,1,1,"[{""sf"": 7, ""pw"": 10, ""rw"": 8}, {""sf"": 7, ""pw"": 11, ""rw"": 8}, {""sf"": 7, ""pw"": 12, ""rw"": 8}, {""sf"": 7, ""pw"": 13, ""rw"": 8}, {""sf"": 7, ""pw"": 14, ""rw"": 8}, {""sf"": 7, ""pw"": 15, ""rw"": 9}, {""sf"": 8, ""pw"": 10, ""rw"": 8}, {""sf"": 8, ""pw"": 11, ""rw"": 8}, {""sf"": 8, ""pw"": 12, ""rw"": 8}, {""sf"": 8, ""pw"": 13, ""rw"": 8}, {""sf"": 8, ""pw"": 14, ""rw"": 8}, {""sf"": 8, ""pw"": 15, ""rw"": 9}, {""sf"": 9, ""pw"": 10, ""rw"": 8}, {""sf"": 9, ""pw"": 11, ""rw"": 8}, {""sf"": 9, ""pw"": 12, ""rw"": 8}, {""sf"": 9, ""pw"": 13, ""rw"": 8}, {""sf"": 9, ""pw"": 14, ""rw"": 9}, {""sf"": 10, ""pw"": 10, ""rw"": 8}, {""sf"": 10, ""pw"": 11, ""rw"": 8}, {""sf"": 10, ""pw"": 12, ""rw"": 8}, {""sf"": 10, ""pw"": 13, ""rw"": 8}, {""sf"": 10, ""pw"": 14, ""rw"": 8}, {""sf"": 10, ""pw"": 15, ""rw"": 9}, {""sf"": 11, ""pw"": 10, ""rw"": 8}, {""sf"": 11, ""pw"": 11, ""rw"": 8}, {""sf"": 11, ""pw"": 12, ""rw"": 8}, {""sf"": 11, ""pw"": 13, ""rw"": 8}, {""sf"": 11, ""pw"": 14, ""rw"": 8}, {""sf"": 11, ""pw"": 15, ""rw"": 9}, {""sf"": 12, ""pw"": 10, ""rw"": 8}, {""sf"": 12, ""pw"": 11, ""rw"": 8}, {""sf"": 12, ""pw"": 12, ""rw"": 8}, {""sf"": 12, ""pw"": 13, ""rw"": 8}, {""sf"": 12, ""pw"": 14, ""rw"": 8}, {""sf"": 12, ""pw"": 15, ""rw"": 10}]",8,,,,,,,
IiIi,9dHeFcL876PIQd1jQR8jhw==,7281,15,15,12,00:17:39,1,1,"[{""sf"": 7, ""pw"": 10, ""rw"": 8}, {""sf"": 7, ""pw"": 11, ""rw"": 8}, {""sf"": 7, ""pw"": 12, ""rw"": 8}, {""sf"": 7, ""pw"": 13, ""rw"": 8}, {""sf"": 7, ""pw"": 14, ""rw"": 8}, {""sf"": 7, ""pw"": 15, ""rw"": 9}, {""sf"": 8, ""pw"": 10, ""rw"": 8}, {""sf"": 8, ""pw"": 11, ""rw"": 8}, {""sf"": 8, ""pw"": 12, ""rw"": 8}, {""sf"": 8, ""pw"": 13, ""rw"": 8}, {""sf"": 8, ""pw"": 14, ""rw"": 8}, {""sf"": 8, ""pw"": 15, ""rw"": 9}, {""sf"": 9, ""pw"": 10, ""rw"": 8}, {""sf"": 9, ""pw"": 11, ""rw"": 8}, {""sf"": 9, ""pw"": 12, ""rw"": 8}, {""sf"": 9, ""pw"": 13, ""rw"": 8}, {""sf"": 9, ""pw"": 14, ""rw"": 9}, {""sf"": 10, ""pw"": 10, ""rw"": 8}, {""sf"": 10, ""pw"": 11, ""rw"": 8}, {""sf"": 10, ""pw"": 12, ""rw"": 8}, {""sf"": 10, ""pw"": 13, ""rw"": 8}, {""sf"": 10, ""pw"": 14, ""rw"": 8}, {""sf"": 10, ""pw"": 15, ""rw"": 9}, {""sf"": 11, ""pw"": 10, ""rw"": 8}, {""sf"": 11, ""pw"": 11, ""rw"": 8}, {""sf"": 11, ""pw"": 12, ""rw"": 8}, {""sf"": 11, ""pw"": 13, ""rw"": 8}, {""sf"": 11, ""pw"": 14, ""rw"": 8}, {""sf"": 11, ""pw"": 15, ""rw"": 9}, {""sf"": 12, ""pw"": 10, ""rw"": 8}, {""sf"": 12, ""pw"": 11, ""rw"": 8}, {""sf"": 12, ""pw"": 12, ""rw"": 8}, {""sf"": 12, ""pw"": 13, ""rw"": 8}, {""sf"": 12, ""pw"": 14, ""rw"": 8}, {""sf"": 12, ""pw"": 15, ""rw"": 10}]",10,,,,,,,
