id,app_data,snr,rssi,duty_cycle_remaining,is_primary,receive_time,seq,frequency,spf,power,airtime,coderate,bandwidth,msg_group_number,message_type_id,ap_id,node_id,dev_id,application_id,battery
1,Test2,9,-97.6,36000,t,2024-03-17 09:47:05.051,1,866100000,7,13,36,4/5,125000,0,1,123456,0rBU,38384,,
2,Test2,-10.6,-84,36000,t,2024-03-17 09:47:15.557,1,866100000,7,13,36,4/5,125000,0,1,123456,Oyxj,38385,,
3,Test2,9.7,-72.9,36000,t,2024-03-17 09:47:21.079,1,866100000,7,13,36,4/5,125000,0,1,123456,sNKE,38386,,
4,Test2,6.2,-95.9,36000,t,2024-03-17 09:49:04.668,2,866900000,12,15,803,4/5,125000,1,1,123456,0rBU,38387,,
5,Test2,0,-91.5,36000,t,2024-03-17 09:49:10.191,1,866100000,7,13,36,4/5,125000,0,1,123456,iMT8,38388,,
6,Test2,1.2,-85.1,36000,t,2024-03-17 09:49:15.2,2,866100000,7,13,36,4/5,125000,1,1,123456,Oyxj,38389,,
7,Test2,-19.3,-74.7,36000,t,2024-03-17 09:49:20.734,2,866100000,7,13,36,4/5,125000,1,1,123456,sNKE,38390,,
8,Test2,1.9,-98.2,36000,t,2024-03-17 09:51:05.308,3,866100000,7,13,36,4/5,125000,2,1,123456,0rBU,38391,,
9,Test2,-15.8,-90.9,36000,t,2024-03-17 09:51:10.305,2,866100000,7,13,36,4/5,125000,1,1,123456,iMT8,38392,,
10,Test2,-19.4,-86.1,36000,t,2024-03-17 09:51:15.312,3,866100000,7,13,36,4/5,125000,2,1,123456,Oyxj,38393,,
11,Test2,-10.9,-76.4,36000,t,2024-03-17 09:51:26.349,3,866100000,7,13,36,4/5,125000,2,1,123456,sNKE,38394,,
12,Test2,2.3,-98.6,36000,t,2024-03-17 09:53:05.435,4,866100000,7,13,36,4/5,125000,3,1,123456,0rBU,38395,,
13,Test2,-10.9,-90.3,36000,t,2024-03-17 09:53:10.438,3,866100000,7,13,36,4/5,125000,2,1,123456,iMT8,38396,,
14,Test2,-14.5,-87,36000,t,2024-03-17 09:53:15.443,4,866100000,7,13,36,4/5,125000,3,1,123456,Oyxj,38397,,
15,Test2,9.4,-82.5,36000,t,2024-03-17 09:53:20.963,1,866100000,7,13,36,4/5,125000,0,1,123456,Chxx,38398,,
16,Test2,-19,-77.9,36000,t,2024-03-17 09:53:26.485,4,866100000,7,13,36,4/5,125000,3,1,123456,sNKE,38399,,
17,Test2,-10.7,-96.9,36000,t,2024-03-17 09:55:05.06,5,866900000,12,15,803,4/5,125000,4,1,123456,0rBU,38400,,
18,Test2,-16.3,-87.7,36000,t,2024-03-17 09:55:10.086,4,866900000,12,15,803,4/5,125000,3,1,123456,iMT8,38401,,
19,Test2,6.3,-87.9,36000,t,2024-03-17 09:55:15.609,5,866100000,7,13,36,4/5,125000,4,1,123456,Oyxj,38402,,
20,Test2,-7.5,-82.6,36000,t,2024-03-17 09:55:21.126,2,866100000,7,13,36,4/5,125000,1,1,123456,Chxx,38403,,
21,Test2,-16,-79.4,36000,t,2024-03-17 09:55:26.651,5,866100000,7,13,36,4/5,125000,4,1,123456,sNKE,38404,,
22,Test2,-7.8,-99.2,36000,t,2024-03-17 09:57:05.696,6,866100000,7,13,36,4/5,125000,5,1,123456,0rBU,38405,,
23,Test2,-14.1,-89.1,36000,t,2024-03-17 09:57:10.695,5,866100000,7,13,36,4/5,125000,4,1,123456,iMT8,38406,,
24,Test2,1.8,-88.8,36000,t,2024-03-17 09:57:16.213,6,866100000,7,13,36,4/5,125000,5,1,123456,Oyxj,38407,,
